sid, maths, physics, chem, bio
1906, 24, 91, 83, 22
1905, 71, 49, 48, 2
1904, 56, 0, 78, 80
1903, 10, 17, 42, 73
1902, 79, 83, 18, 84
1901, 58, 5, 37, 62
1900, 52, 93, 68, 34
1899, 98, 83, 20, 96
1898, 31, 75, 90, 28
1897, 72, 19, 19, 68
1896, 11, 39, 58, 4
1895, 53, 74, 47, 5
1894, 52, 22, 46, 56
1893, 82, 64, 37, 51
1892, 97, 69, 73, 72
1891, 97, 71, 40, 39
1890, 96, 12, 4, 22
1889, 41, 81, 9, 14
1888, 52, 85, 92, 0
1887, 51, 31, 28, 91
1886, 68, 36, 85, 43
1885, 75, 13, 91, 12
1884, 42, 74, 76, 82
1883, 74, 32, 67, 18
1882, 73, 15, 3, 37
1881, 48, 4, 37, 56
1880, 87, 69, 56, 1
1879, 74, 63, 94, 33
1878, 37, 55, 45, 72
1877, 39, 49, 85, 57
1876, 91, 58, 6, 58
1875, 12, 59, 29, 78
1874, 8, 69, 26, 95
1873, 61, 26, 95, 36
1872, 59, 72, 23, 71
1871, 83, 67, 18, 21
1870, 17, 36, 70, 36
1869, 67, 29, 42, 74
1868, 66, 80, 29, 76
1867, 86, 42, 33, 34
1866, 74, 30, 22, 38
1865, 60, 89, 51, 24
1864, 86, 39, 53, 2
1863, 66, 46, 97, 30
1862, 7, 88, 42, 43
1861, 10, 35, 0, 66
1860, 47, 71, 46, 43
1859, 63, 4, 20, 43
1858, 12, 85, 27, 45
1857, 63, 20, 36, 49
1856, 12, 40, 42, 71
1855, 36, 78, 4, 2
1854, 55, 72, 87, 24
1853, 95, 87, 36, 5
1852, 80, 91, 99, 3
1851, 33, 78, 77, 23
1850, 85, 92, 97, 26
1849, 7, 71, 26, 13
1848, 66, 33, 35, 88
1847, 16, 63, 39, 28
1846, 10, 16, 84, 30
1845, 71, 52, 88, 33
1844, 90, 1, 13, 76
1843, 40, 89, 29, 99
1842, 6, 62, 13, 84
1841, 70, 21, 36, 38
1840, 60, 2, 42, 55
1839, 68, 0, 27, 9
1838, 10, 57, 28, 50
1837, 34, 69, 39, 60
1836, 59, 49, 20, 62
1835, 26, 26, 23, 45
1834, 68, 32, 26, 75
1833, 95, 67, 27, 29
1832, 41, 60, 75, 33
1831, 40, 10, 19, 25
1830, 26, 41, 18, 16
1829, 51, 33, 97, 25
1828, 67, 32, 73, 74
1827, 54, 41, 0, 48
1826, 34, 49, 5, 45
1825, 92, 83, 92, 93
1824, 85, 78, 40, 98
1823, 90, 99, 40, 51
1822, 74, 41, 91, 41
1821, 7, 18, 7, 23
1820, 94, 74, 80, 25
1819, 59, 53, 36, 3
1818, 1, 51, 56, 60
1817, 61, 62, 42, 42
1816, 8, 86, 38, 89
1815, 15, 97, 55, 98
1814, 64, 55, 81, 68
1813, 31, 81, 86, 82
1812, 92, 88, 86, 24
1811, 59, 8, 97, 76
1810, 81, 87, 56, 62
1809, 29, 75, 23, 1
1808, 31, 59, 78, 88
1807, 52, 60, 16, 87
1806, 51, 83, 17, 99
1805, 80, 90, 95, 10
1804, 65, 84, 39, 10
1803, 80, 20, 99, 83
1802, 72, 54, 63, 55
1801, 5, 18, 44, 83
1800, 34, 71, 43, 91
1799, 95, 69, 91, 65
1798, 78, 9, 88, 7
1797, 93, 95, 51, 33
1796, 50, 45, 33, 56
1795, 31, 74, 4, 44
1794, 26, 2, 10, 80
1793, 5, 34, 75, 53
1792, 69, 65, 28, 26
1791, 77, 34, 29, 84
1790, 40, 30, 58, 3
1789, 6, 96, 62, 42
1788, 60, 24, 88, 37
1787, 1, 29, 64, 24
1786, 96, 92, 75, 5
1785, 56, 40, 54, 97
1784, 55, 83, 83, 44
1783, 11, 46, 76, 26
1782, 36, 92, 16, 63
1781, 24, 29, 7, 25
1780, 23, 79, 8, 64
1779, 9, 57, 2, 7
1778, 88, 56, 38, 78
1777, 89, 73, 56, 58
1776, 63, 8, 54, 5
1775, 27, 19, 78, 61
1774, 49, 55, 84, 90
1773, 89, 93, 69, 43
