rollno, age, height, weight
1906, 20, 170, 99
1905, 18, 168, 52
1904, 19, 163, 53
1903, 20, 178, 79
1902, 18, 157, 89
1901, 21, 181, 88
1900, 19, 164, 84
1899, 18, 150, 61
1898, 18, 183, 80
1897, 19, 180, 77
1896, 20, 164, 72
1895, 19, 157, 96
1894, 18, 183, 53
1893, 19, 160, 73
1892, 18, 159, 107
1891, 19, 173, 103
1890, 20, 161, 72
1889, 20, 179, 62
1888, 21, 161, 58
1887, 21, 155, 105
1886, 21, 186, 84
1885, 20, 172, 103
1884, 21, 158, 50
1883, 19, 175, 81
1882, 19, 182, 75
1881, 18, 181, 109
1880, 20, 187, 101
1879, 19, 162, 57
1878, 20, 183, 61
1877, 19, 170, 78
1876, 19, 159, 98
1875, 20, 183, 79
1874, 21, 159, 93
1873, 19, 155, 59
1872, 18, 156, 94
1871, 20, 186, 83
1870, 19, 161, 108
1869, 20, 186, 62
1868, 19, 181, 89
1867, 21, 169, 87
1866, 18, 157, 93
1865, 21, 176, 109
1864, 18, 183, 89
1863, 21, 163, 67
1862, 20, 161, 83
1861, 18, 172, 76
1860, 21, 176, 74
1859, 19, 151, 65
1858, 21, 179, 55
1857, 18, 184, 71
1856, 19, 162, 93
1855, 18, 150, 82
1854, 18, 159, 57
1853, 20, 154, 95
1852, 18, 184, 78
1851, 18, 180, 104
1850, 18, 159, 87
1849, 18, 159, 99
1848, 21, 154, 52
1847, 20, 156, 101
1846, 21, 169, 96
1845, 21, 155, 79
1844, 19, 180, 62
1843, 20, 166, 95
1842, 18, 152, 52
1841, 18, 166, 82
1840, 18, 166, 102
1839, 19, 157, 82
1838, 20, 160, 74
1837, 21, 183, 63
1836, 20, 167, 88
1835, 20, 174, 90
1834, 20, 177, 64
1833, 20, 161, 73
1832, 20, 180, 67
1831, 18, 178, 70
1830, 18, 189, 102
1829, 19, 186, 92
1828, 19, 169, 77
1827, 21, 153, 81
1826, 19, 188, 99
1825, 19, 176, 109
1824, 21, 181, 106
1823, 19, 155, 82
1822, 20, 155, 66
1821, 18, 177, 55
1820, 21, 168, 70
1819, 19, 153, 81
1818, 18, 186, 89
1817, 19, 180, 60
1816, 21, 179, 104
1815, 21, 173, 61
1814, 19, 174, 64
1813, 18, 154, 72
1812, 20, 160, 89
1811, 19, 175, 71
1810, 21, 186, 67
1809, 20, 182, 64
1808, 20, 159, 79
1807, 18, 153, 109
1806, 20, 161, 63
1805, 20, 155, 54
1804, 18, 162, 108
1803, 19, 172, 87
1802, 19, 188, 88
1801, 19, 154, 70
1800, 18, 180, 72
1799, 20, 175, 86
1798, 20, 188, 70
1797, 18, 175, 64
1796, 19, 167, 64
1795, 19, 156, 58
1794, 19, 150, 96
1793, 18, 177, 105
1792, 19, 155, 98
1791, 20, 188, 86
1790, 19, 184, 102
1789, 21, 166, 92
1788, 18, 184, 74
1787, 18, 170, 83
1786, 21, 184, 105
1785, 19, 180, 90
1784, 19, 181, 54
1783, 20, 176, 103
1782, 21, 170, 61
1781, 18, 161, 69
1780, 19, 168, 87
1779, 20, 187, 75
1778, 20, 161, 65
1777, 20, 176, 74
1776, 18, 165, 82
1775, 21, 174, 68
1774, 18, 181, 98
1773, 20, 172, 81
1772, 19, 169, 72
1771, 19, 160, 73
1770, 19, 189, 76
1769, 20, 160, 85
1768, 18, 168, 106
1767, 21, 150, 86
1766, 21, 164, 52
1765, 19, 187, 63
1764, 19, 167, 104
1763, 20, 158, 108
1762, 19, 169, 75
1761, 21, 167, 54
1760, 19, 189, 90
1759, 18, 168, 84
1758, 20, 178, 80
1757, 19, 164, 83
1756, 19, 159, 58
1755, 18, 176, 108
1754, 19, 154, 54
1753, 19, 183, 104
1752, 20, 179, 91
1751, 19, 162, 88
1750, 19, 175, 80
1749, 20, 174, 107
1748, 20, 155, 71
1747, 19, 174, 63
1746, 20, 188, 58
1745, 20, 164, 75
1744, 20, 167, 61
1743, 18, 163, 57
1742, 19, 153, 57
1741, 20, 166, 54
1740, 19, 183, 86
1739, 21, 173, 69
1738, 18, 178, 65
1737, 20, 182, 67
1736, 18, 161, 72
1735, 18, 184, 58
1734, 18, 181, 50
1733, 19, 150, 76
1732, 21, 153, 57
1731, 21, 186, 88
1730, 19, 155, 75
1729, 21, 173, 59
1728, 18, 156, 77
1727, 19, 185, 84
1726, 19, 172, 107
1725, 20, 186, 90
1724, 21, 164, 98
1723, 19, 176, 105
1722, 21, 187, 72
1721, 20, 171, 70
1720, 20, 186, 103
1719, 19, 180, 72
1718, 21, 162, 89
1717, 18, 175, 93
1716, 20, 187, 101
1715, 20, 170, 77
1714, 21, 171, 109
1713, 19, 163, 64
1712, 18, 159, 80
1711, 19, 165, 74
1710, 19, 181, 106
1709, 20, 173, 74
1708, 21, 174, 104
1707, 21, 161, 88
1706, 19, 154, 84
1705, 21, 178, 74
1704, 18, 182, 92
1703, 21, 154, 76
1702, 20, 155, 83
1701, 18, 166, 61
1700, 21, 170, 89
1699, 21, 180, 85
1698, 18, 174, 100
1697, 21, 162, 98
1696, 18, 179, 60
1695, 21, 160, 68
1694, 18, 186, 89
1693, 21, 182, 54
1692, 19, 180, 107
1691, 18, 161, 88
1690, 20, 182, 66
1689, 20, 155, 58
1688, 21, 172, 85
1687, 21, 188, 95
1686, 21, 189, 80
1685, 19, 177, 71
1684, 18, 152, 85
1683, 20, 177, 87
1682, 21, 156, 59
1681, 21, 152, 83
1680, 21, 166, 104
1679, 20, 163, 54
1678, 18, 179, 52
1677, 20, 173, 66
1676, 18, 167, 93
1675, 19, 163, 104
1674, 21, 176, 59
1673, 19, 177, 52
1672, 18, 166, 89
1671, 19, 177, 89
1670, 21, 188, 50
1669, 21, 179, 102
1668, 20, 156, 68
1667, 19, 151, 96
1666, 18, 187, 84
1665, 21, 162, 65
1664, 21, 157, 80
1663, 21, 161, 96
1662, 18, 157, 102
1661, 19, 157, 101
1660, 18, 178, 88
1659, 21, 164, 50
1658, 19, 162, 67
1657, 21, 189, 79
1656, 19, 189, 99
1655, 19, 175, 95
1654, 18, 182, 66
1653, 21, 151, 97
1652, 18, 171, 53
1651, 21, 171, 57
